EventID,EventName,Sport,Season,SportID
1,Tumbling,Gymnastics,Summer,3
2,8M (Rating 1919),Sailing,Summer,9998
3,Individual Competition,Modern Pentathlon,Summer,9998
4,1/4 Mile (402.3M),Cycling,Summer,1001
5,- 63KG (Lightweight),Judo,Summer,9998
6,60 - 66KG,Judo,Summer,9998
7,78 - 87KG (Middleweight),Wrestling,Summer,9998
8,Cross Country Individual,Athletics,Summer,9998
9,Individual All-Round,Gymnastics,Summer,9998
10,Doubles Indoor,Tennis,Summer,9998
11,- 51KG (Flyweight),Boxing,Summer,9998
12,200M Medley,Aquatics,Summer,9998
13,- 48KG,Wrestling,Summer,9998
14,- 60KG (Featherweight),Wrestling,Summer,9998
15,K-2 500M (Kayak Double),Canoe / Kayak,Summer,9998
16,Single-Handed Dinghy (Finn),Sailing,Summer,9998
17,Board (Windglider),Sailing,Summer,9998
18,Class B Up To 60 Feet,Water Motorsports,Summer,9998
19,Cricket,Cricket,Summer,9998
20,Continental Style 50M,Archery,Summer,9998
21,Eight With Coxswain,Rowing,Summer,9998
22,300M Free Rifle 3 Positions (3X40 Shots),Shooting,Summer,9998
23,400M Individual Medley,Aquatics,Summer,9998
24,Army Rifle,Shooting,Summer,9998
25,1500M,Athletics,Summer,9998
26,Single Sculls (1X),Rowing,Summer,9998
27,90 - 100KG (Heavyweight),Wrestling,Summer,9998
28,6.5M (Rating 1919),Sailing,Summer,9998
29,1000Y Free Rifle,Shooting,Summer,9998
30,Team (Fita Olympic Round - 70M),Archery,Summer,9998
31,63 - 67KG (Lightweight),Wrestling,Summer,9998
32,57 - 63KG (Half-Middleweight),Judo,Summer,9998
33,Team Pursuit,Cycling,Summer,9998
34,57 - 60KG (Lightweight),Boxing,Summer,9998
35,54 - 58KG,Wrestling,Summer,9998
36,National Round (60Y - 50Y),Archery,Summer,9998
37,60 - 66KG,Wrestling,Summer,9998
38,Foil,Fencing,Summer,9998
39,Basketball,Basketball,Summer,9998
40,74 - 82KG (Middleweight),Wrestling,Summer,9998
41,+ 93KG (Super Heavyweight),Wrestling,Summer,9998
42,Wg 120 KG,Wrestling,Summer,9998
43,+ 80KG (Heavyweight),Boxing,Summer,9998
44,18 Foot Dinghy,Sailing,Summer,9998
45,48 - 51KG (Flyweight),Boxing,Summer,9998
46,3000M Walk,Athletics,Summer,9998
47,97 - 130KG,Wrestling,Summer,9998
48,50M Rifle Prone (60 Shots),Shooting,Summer,9998
49,63KG,Weightlifting,Summer,9998
50,200M Team Swimming,Aquatics,Summer,9998
51,Coxed Fours Jugriggers,Rowing,Summer,9998
52,76 - 85KG,Wrestling,Summer,9998
53,K-1 500M (Kayak Single),Canoe / Kayak,Summer,9998
54,pe,Fencing,Summer,9998
55,Triple Jump,Athletics,Summer,9998
56,+ 81KG (Heavyweight),Boxing,Summer,9998
57,58 - 60KG (Featherweight),Wrestling,Summer,9998
58,Trap,Shooting,Summer,9998
59,Floor Exercises,Gymnastics,Summer,9998
60,30M Sq,Sailing,Summer,9998
61,55 - 60KG,Wrestling,Summer,9998
62,+ 105KG,Weightlifting,Summer,9998
63,Double Trap (120 Targets),Shooting,Summer,9998
64,600M Free Rifle,Shooting,Summer,9998
65,73 - 80KG (Light-Heavyweight),Boxing,Summer,9998
66,50M Pistol,Shooting,Summer,9998
67,85 - 97KG,Wrestling,Summer,9998
68,72 - 79KG (Middleweight),Wrestling,Summer,9998
69,70 - 80KG (Middleweight),Judo,Summer,9998
70,Double Sculls,Rowing,Summer,9998
71,Laser Radial,Sailing,Summer,9998
72,6M (Rating 1919),Sailing,Summer,9998
73,Wf 48 KG,Wrestling,Summer,9998
74,94KG,Weightlifting,Summer,9998
75,K-4 1000M (Kayak Four),Canoe / Kayak,Summer,9998
76,- 52KG (Flyweight),Wrestling,Summer,9998
77,4000M Freestyle,Aquatics,Summer,9998
78,Open Category,Judo,Summer,9998
79,+ 91KG,Boxing,Summer,9998
80,75 - 82.5KG (Light-Heavyweight),Wrestling,Summer,9998
81,70 - 78KG (Welterweight),Wrestling,Summer,9998
82,58 - 63KG,Wrestling,Summer,9998
83,63 - 70KG (Lightweight),Wrestling,Summer,9998
84,Wf 63 KG,Wrestling,Summer,9998
85,25M Army Pistol,Shooting,Summer,9998
86,Individual,Equestrian,Summer,9998
87,Lightweight Doubles,Rowing,Summer,9998
88,Individual,Skating,Summer,9998
89,Marathon,Athletics,Summer,9998
90,50Y Army Pistol,Shooting,Summer,9998
91,56KG,Boxing,Summer,9998
92,Double National Round (60Y - 50Y),Archery,Summer,9998
93,Pommel Horse,Gymnastics,Summer,9998
94,61 - 66KG (Lightweight),Wrestling,Summer,9998
95,Olympic Class Monotype,Sailing,Summer,9998
96,Wf 66 KG,Wrestling,Summer,9998
97,Finn - Heavyweight Dinghy,Sailing,Summer,9998
98,4X400M Relay,Athletics,Summer,9998
99,60 - 63.5KG (Light-Welterweight),Boxing,Summer,9998
100,50KM Walk,Athletics,Summer,9998
101,Individual Fita Round,Archery,Summer,9998
102,Moving Bird Target 50M Teams,Archery,Summer,9998
103,100M,Athletics,Summer,9998
104,Team Horizontal Bar,Gymnastics,Summer,9998
105,470 - Two Person Dinghy,Sailing,Summer,9998
106,66 - 73KG,Judo,Summer,9998
107,81 - 91KG (Heavyweight),Boxing,Summer,9998
108,20KM Walk,Athletics,Summer,9998
109,54 - 57.15KG (Featherweight),Boxing,Summer,9998
110,0.5-1T,Sailing,Summer,9998
111,Skeet (75 Targets),Shooting,Summer,9998
112,Board (Lechner),Sailing,Summer,9998
113,25M Pistol (30+30 Shots),Shooting,Summer,9998
114,Individual (Fita Olympic Round - 70M),Archery,Summer,9998
115,66.68 - 72.57KG (Middleweight),Boxing,Summer,9998
116,Madison,Cycling,Summer,9998
117,58 - 62KG (Lightweight),Boxing,Summer,9998
118,65.77 - 71.67KG (Middleweight),Boxing,Summer,9998
119,Double York Round (100Y - 80Y - 60Y),Archery,Summer,9998
120,3000M Steeple,Athletics,Summer,9998
121,Singles,Table Tennis,Summer,9998
122,1/2 Mile (804.7M),Cycling,Summer,9998
123,K-2 200M,Canoe,Summer,9998
124,Team,Aquatics,Summer,9998
125,8M Class C,Water Motorsports,Summer,9998
126,100KM,Cycling,Summer,9998
127,Cross-Country,Cycling,Summer,9998
128,74 - 84KG,Wrestling,Summer,9998
129,50M Rifle 3 Positions (3X40 Shots),Shooting,Summer,9998
130,Lightweight Double Sculls (2X),Rowing,Summer,9998
131,470,Sailing,Summer,9998
132,+ 71.67KG (Heavyweight),Boxing,Summer,9998
133,100M Hurdles,Athletics,Summer,9998
134,Team Round 60Y,Archery,Summer,9998
135,4X100M Medley Relay,Aquatics,Summer,9998
